Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
Wie heißt die Krankheit, die der Virus auslößt?;SARS-CoV-2;COVID-19;SARS;Corona;B
Wie heißt der Virus?;Corona;SARS-CoV-2;COVID-19;SARS;A
Zu welcher Familie gehört der Virus?;Coronaviruzide;Coronaviruse;Coronaviridae ;Coronavirude;C
Wann wurde der erste Fall in Deutschland bestätigt?;03. Mrz;06. Feb;27. Jan;05. Jan;C
Was wurde am 23. März bundesweit beschlossen?;Hilfspaket über 300 Miliarden Euro;Kontaktverbot;Nur noch 2 Pakete Toilettenpapier pro Haushalt;bundesweite Schulschließungen;B
Was wird in Deutschland am meisten gehamstert?;Cola & Weingummi;Kondome und Rotwein;Krakauer & Brötchen;Toilettenpapier & Mehl;D
Welche Streamingplattform bietet ihr gesamtes Programm seit dem 24. März gratis an?;Netflix;Amazon Prime;Pornhub;Disney +;C
Wie lange ist die Inkubationszeit?;10 Tage;14 Tage;9 Tage;20 Tage;B
Wie lange soll ich mir die Hände waschen?;15 Sekunden;10 Sekunden;20 Sekunden;25 Sekunden;C
Wie viele Menschen stecke ich, ohne Social Distancing, nach 30 Tagen an?;ca. 125 Menschen;ca. 205 Menschen;ca. 372 Menschen;ca. 406 Menschen;D
