Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort (A, B, C oder D)
Seit wann gibt es das Frauenwahlrecht in der BRD, bzw. seinem Vorgänger?;1918 (Weimarer Republik);1920 (Weimarer Republik);1949 (BRD);1933 (drittes Reich);A
Welches Land ist Spitzenreiter in der Gleichsetzung von Mann und Frau?;Island;Norwegen;Schweden;Finnland;A
Wann ist der jährliche Frauenkampftag?;26. Februar;5. November;8. März;16. April;C
Wofür steht FINTA*?;Free, international, normal, talentet, ambitious;Female, Inter, non-binary, trans, a-gender;Fabulous, intelligent, necessary, tough, aware;Fantastisch individuelle nagelfeilen tanzen akribisch;B
Was ist das Patriarchat?;Feministischer Zusammenschluss;Name für Demonstrationen für Frauenrechte;Gesellschaft, bei der der Mann eine bevorzugte Stellung innehat;Kleidermarke, welche Kleidungsstile vertauscht;C
Gibt es Sexismus gegen Männer?;Ja;Ja, aber der hat einen weitaus geringeren Anteil;Nein, Sexismus gegen Männer ist nicht möglich;Ja, aber über den Anteil darf nicht geredet werden;C
Wofür kämpfen FINTA*-Menschen?;Gerechte Gehälter;Gerechte Spitzenpositionen;Gleichberechtigung in allen Bereichen;Keine Objektifizierung;E
Was ist Mansplaining?;Beleidigung gegen Männer;Modemarke für Männer;Mitgliedschaft eines Mannes in einer feministischen Organisation;Herablassende Erklärung eines Mannes von FINTA*-Themen;D
Was ist eine paritätische Regierung?;Eine Regierung, in der es keine Männer gibt;Eine Regierung, welche sich auf Feministische Themen fokusiert;Eine Regierung, welche ein weibliches Staatsoberhaupt hat;Eine Regierung, in der alle gleichberechtigt aufgestellt sind;D
Brauchen wir Parität?;Ja;Ja;JAAAAA;JAAAAAAAAAAAA;E
